(0, 4, 8)
(0, 9, 4)
(11, 0, 4)
(0, 8, 5)
(0, 5, 9)
(10, 0, 5)
(6, 0, 8)
(6, 10, 0)
(11, 6, 0)
(7, 0, 9)
(10, 7, 0)
(7, 11, 0)
(9, 1, 4)
(1, 4, 10)
(1, 11, 4)
(8, 1, 5)
(1, 10, 5)
(1, 5, 11)
(6, 8, 1)
(9, 6, 1)
(6, 1, 10)
(8, 7, 1)
(7, 9, 1)
(7, 1, 11)
(4, 2, 8)
(4, 10, 2)
(11, 4, 2)
(5, 2, 9)
(10, 5, 2)
(5, 11, 2)
(2, 6, 8)
(2, 9, 6)
(11, 2, 6)
(2, 8, 7)
(2, 7, 9)
(10, 2, 7)
(4, 8, 3)
(9, 4, 3)
(4, 3, 10)
(8, 5, 3)
(5, 9, 3)
(5, 3, 11)
(9, 3, 6)
(3, 6, 10)
(3, 11, 6)
(8, 3, 7)
(3, 10, 7)
(3, 7, 11)
